,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
134,2020/03/13,Uttar Pradesh,26.8467,80.9462,11,11,0,0.0,0,0.0
135,2020/03/14,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
136,2020/03/14,Delhi,28.7041,77.1025,7,5,1,0.14285714285714285,1,0.14285714285714285
137,2020/03/14,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
138,2020/03/14,Karnataka,15.3173,75.7139,6,5,1,0.16666666666666666,0,0.0
139,2020/03/14,Kerala,10.8505,76.2711,19,16,0,0.0,3,0.15789473684210525
140,2020/03/14,Maharashtra,19.7515,75.7139,14,14,0,0.0,0,0.0
141,2020/03/14,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
142,2020/03/14,Rajasthan,27.0238,74.2179,3,2,0,0.0,1,0.3333333333333333
143,2020/03/14,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
144,2020/03/14,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
145,2020/03/14,Jammu and Kashmir,33.7782,76.5762,2,2,0,0.0,0,0.0
146,2020/03/14,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
147,2020/03/14,Uttar Pradesh,26.8467,80.9462,12,7,0,0.0,5,0.4166666666666667
148,2020/03/15,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
149,2020/03/15,Delhi,28.7041,77.1025,7,4,1,0.14285714285714285,2,0.2857142857142857
150,2020/03/15,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
151,2020/03/15,Karnataka,15.3173,75.7139,6,5,1,0.16666666666666666,0,0.0
152,2020/03/15,Kerala,10.8505,76.2711,23,20,0,0.0,3,0.13043478260869565
153,2020/03/15,Maharashtra,19.7515,75.7139,32,32,0,0.0,0,0.0
154,2020/03/15,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
155,2020/03/15,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
156,2020/03/15,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
157,2020/03/15,Telengana,18.1124,79.0193,3,2,0,0.0,1,0.3333333333333333
158,2020/03/15,Jammu and Kashmir,33.7782,76.5762,2,2,0,0.0,0,0.0
159,2020/03/15,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
160,2020/03/15,Uttar Pradesh,26.8467,80.9462,13,9,0,0.0,4,0.3076923076923077
161,2020/03/15,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
162,2020/03/16,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
163,2020/03/16,Delhi,28.7041,77.1025,7,4,1,0.14285714285714285,2,0.2857142857142857
164,2020/03/16,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
165,2020/03/16,Karnataka,15.3173,75.7139,6,5,1,0.16666666666666666,0,0.0
166,2020/03/16,Kerala,10.8505,76.2711,23,20,0,0.0,3,0.13043478260869565
167,2020/03/16,Maharashtra,19.7515,75.7139,32,32,0,0.0,0,0.0
168,2020/03/16,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
169,2020/03/16,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
170,2020/03/16,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
171,2020/03/16,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
172,2020/03/16,Telengana,18.1124,79.0193,3,2,0,0.0,1,0.3333333333333333
173,2020/03/16,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
174,2020/03/16,Ladakh,34.2996,78.2932,4,4,0,0.0,0,0.0
175,2020/03/16,Uttar Pradesh,26.8467,80.9462,13,9,0,0.0,4,0.3076923076923077
176,2020/03/16,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
177,2020/03/17,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
178,2020/03/17,Delhi,28.7041,77.1025,8,5,1,0.125,2,0.25
179,2020/03/17,Haryana,29.0588,76.0856,15,15,0,0.0,0,0.0
180,2020/03/17,Karnataka,15.3173,75.7139,11,10,1,0.09090909090909091,0,0.0
181,2020/03/17,Kerala,10.8505,76.2711,26,23,0,0.0,3,0.11538461538461539
182,2020/03/17,Maharashtra,19.7515,75.7139,39,38,1,0.02564102564102564,0,0.0
183,2020/03/17,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
184,2020/03/17,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
185,2020/03/17,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
186,2020/03/17,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
187,2020/03/17,Telengana,18.1124,79.0193,5,4,0,0.0,1,0.2
188,2020/03/17,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
189,2020/03/17,Ladakh,34.2996,78.2932,6,6,0,0.0,0,0.0
190,2020/03/17,Uttar Pradesh,26.8467,80.9462,15,10,0,0.0,5,0.3333333333333333
191,2020/03/17,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
192,2020/03/18,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
193,2020/03/18,Delhi,28.7041,77.1025,10,7,1,0.1,2,0.2
194,2020/03/18,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
195,2020/03/18,Karnataka,15.3173,75.7139,11,10,1,0.09090909090909091,0,0.0
196,2020/03/18,Kerala,10.8505,76.2711,27,24,0,0.0,3,0.1111111111111111
197,2020/03/18,Maharashtra,19.7515,75.7139,42,41,1,0.023809523809523808,0,0.0
198,2020/03/18,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
199,2020/03/18,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
200,2020/03/18,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
201,2020/03/18,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
202,2020/03/18,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
